plot_type,city,price,Unit,Rupee_per_area,Area,state
Residential Plot,Tirupati, 34.88 L, L,"1,166 / sq ft",2990,andhra pradesh
Residential Plot,Visakhapatnam, 28 L, L,"1,166 / sq ft",2400,andhra pradesh
Residential Plot,Tirupati, 24.5 L, L,"1,166 / sq ft",2100,andhra pradesh
Residential Plot,Visakhapatnam, 23.1 L, L,"1,166 / sq ft",1980,andhra pradesh
Residential Plot,Visakhapatnam, 21 L, L,"1,166 / sq ft",1801,andhra pradesh
Residential Plot,Vizianagaram, 21 L, L,"1,166 / sq ft",1800,andhra pradesh
Residential Plot,Visakhapatnam, 21 L, L,"1,166 / sq ft",1800,andhra pradesh
Residential Plot,Tirupati, 20.41 L, L,"1,166 / sq ft",1750,andhra pradesh
Residential Plot,Visakhapatnam, 17.53 L, L,"1,166 / sq ft",1503,andhra pradesh
Residential Plot,Visakhapatnam, 22.31 L, L,"1,168 / sq ft",1910,andhra pradesh
Residential Plot,Visakhapatnam, 13.58 L, L,"1,168 / sq ft",1163,andhra pradesh
1 BHK Independent House,Guntur, 3.76 Cr, Cr,"1,17,043 / sq ft",322,andhra pradesh
Residential Plot,Visakhapatnam, 20 L, L,"1,176 / sq ft",1700,andhra pradesh
Residential Plot,Visakhapatnam, 53 L, L,"1,177 / sq ft",4500,andhra pradesh
Residential Plot,Visakhapatnam, 21.67 L, L,"1,177 / sq ft",1840,andhra pradesh
Residential Plot,Visakhapatnam, 13.58 L, L,"1,177 / sq ft",1153,andhra pradesh
Residential Plot,Visakhapatnam, 14.56 L, L,"1,178 / sq ft",1235,andhra pradesh
Residential Plot,Visakhapatnam, 19.87 L, L,"1,179 / sq ft",1684,andhra pradesh
Residential Plot,Visakhapatnam, 15.95 L, L,"1,179 / sq ft",1352,andhra pradesh
Residential Plot,Visakhapatnam, 22 L, L,"1,180 / sq ft",1863,andhra pradesh
Residential Plot,Visakhapatnam, 14.65 L, L,"1,183 / sq ft",1238,andhra pradesh
Residential Plot,Visakhapatnam, 17.54 L, L,"1,185 / sq ft",1480,andhra pradesh
Residential Plot,Visakhapatnam, 16.05 L, L,"1,185 / sq ft",1354,andhra pradesh
Residential Plot,Visakhapatnam, 16 L, L,"1,185 / sq ft",1350,andhra pradesh
Residential Plot,Tirupati, 16 L, L,"1,185 / sq ft",1350,andhra pradesh
Residential Plot,Visakhapatnam, 14.65 L, L,"1,185 / sq ft",1236,andhra pradesh
Residential Plot,Visakhapatnam, 14.65 L, L,"1,186 / sq ft",1235,andhra pradesh
Residential Plot,Tirupati, 38 L, L,"1,187 / sq ft",3200,andhra pradesh
Residential Plot,Vijayawada, 22.75 L, L,"1,187 / sq ft",1917,andhra pradesh
Residential Plot,Visakhapatnam, 11.42 L, L,"1,189 / sq ft",960,andhra pradesh
Residential Plot,Visakhapatnam, 18.58 L, L,"1,191 / sq ft",1560,andhra pradesh
Residential Plot,Visakhapatnam, 13.84 L, L,"1,193 / sq ft",1160,andhra pradesh
Residential Plot,Tirupati, 21.5 L, L,"1,194 / sq ft",1800,andhra pradesh
Residential Plot,Chittoor, 21.5 L, L,"1,194 / sq ft",1800,andhra pradesh
Residential Plot,Tirupati, 94 L, L,"1,195 / sq ft",7865,andhra pradesh
Residential Plot,Visakhapatnam, 18 L, L,"1,197 / sq ft",1503,andhra pradesh
Residential Plot,Visakhapatnam, 17 L, L,"1,197 / sq ft",1420,andhra pradesh
Residential Plot,Visakhapatnam, 24.83 L, L,"1,199 / sq ft",2070,andhra pradesh
