property_type,city,total_price,unit,builtup_area_sqft,area,state
Plot/Land,Visakhapatnam,13.47, L,1165.0,1156,Andhra Pradesh
Plot/Land,Tirupati,44.1, L,1166.0,3780,Andhra Pradesh
Plot/Land,Tirupati,35.77, L,1166.0,3066,Andhra Pradesh
Plot/Land,Tirupati,34.88, L,1166.0,2990,Andhra Pradesh
Plot/Land,Visakhapatnam,28.0, L,1166.0,2400,Andhra Pradesh
Plot/Land,Tirupati,24.5, L,1166.0,2100,Andhra Pradesh
Plot/Land,Visakhapatnam,23.1, L,1166.0,1980,Andhra Pradesh
Plot/Land,Visakhapatnam,21.0, L,1166.0,1801,Andhra Pradesh
Plot/Land,Vizianagaram,21.0, L,1166.0,1800,Andhra Pradesh
Plot/Land,Visakhapatnam,21.0, L,1166.0,1800,Andhra Pradesh
Plot/Land,Tirupati,20.41, L,1166.0,1750,Andhra Pradesh
Plot/Land,Visakhapatnam,17.53, L,1166.0,1503,Andhra Pradesh
Plot/Land,Visakhapatnam,22.31, L,1168.0,1910,Andhra Pradesh
Plot/Land,Visakhapatnam,13.58, L,1168.0,1163,Andhra Pradesh
Villa/Independent House,Guntur,37600000.0, Cr,117043.0,322,Andhra Pradesh
Plot/Land,Visakhapatnam,20.0, L,1176.0,1700,Andhra Pradesh
Plot/Land,Visakhapatnam,53.0, L,1177.0,4500,Andhra Pradesh
Plot/Land,Visakhapatnam,21.67, L,1177.0,1840,Andhra Pradesh
Plot/Land,Visakhapatnam,13.58, L,1177.0,1153,Andhra Pradesh
Plot/Land,Visakhapatnam,14.56, L,1178.0,1235,Andhra Pradesh
Plot/Land,Visakhapatnam,19.87, L,1179.0,1684,Andhra Pradesh
Plot/Land,Visakhapatnam,15.95, L,1179.0,1352,Andhra Pradesh
Plot/Land,Visakhapatnam,22.0, L,1180.0,1863,Andhra Pradesh
Plot/Land,Visakhapatnam,14.65, L,1183.0,1238,Andhra Pradesh
Plot/Land,Visakhapatnam,17.54, L,1185.0,1480,Andhra Pradesh
Plot/Land,Visakhapatnam,16.05, L,1185.0,1354,Andhra Pradesh
Plot/Land,Visakhapatnam,16.0, L,1185.0,1350,Andhra Pradesh
Plot/Land,Tirupati,16.0, L,1185.0,1350,Andhra Pradesh
Plot/Land,Visakhapatnam,14.65, L,1185.0,1236,Andhra Pradesh
Plot/Land,Visakhapatnam,14.65, L,1186.0,1235,Andhra Pradesh
Plot/Land,Tirupati,38.0, L,1187.0,3200,Andhra Pradesh
Plot/Land,Vijayawada,22.75, L,1187.0,1917,Andhra Pradesh
Plot/Land,Visakhapatnam,11.42, L,1189.0,960,Andhra Pradesh
Plot/Land,Visakhapatnam,18.58, L,1191.0,1560,Andhra Pradesh
Plot/Land,Visakhapatnam,13.84, L,1193.0,1160,Andhra Pradesh
Plot/Land,Tirupati,21.5, L,1194.0,1800,Andhra Pradesh
Plot/Land,Chittoor,21.5, L,1194.0,1800,Andhra Pradesh
Plot/Land,Tirupati,94.0, L,1195.0,7865,Andhra Pradesh
Plot/Land,Visakhapatnam,18.0, L,1197.0,1503,Andhra Pradesh
Plot/Land,Visakhapatnam,17.0, L,1197.0,1420,Andhra Pradesh
Plot/Land,Visakhapatnam,24.83, L,1199.0,2070,Andhra Pradesh
Plot/Land,Visakhapatnam,13.47, L,1199.0,1123,Andhra Pradesh
Plot/Land,Visakhapatnam,27.0, L,1200.0,2250,Andhra Pradesh
Plot/Land,Visakhapatnam,22.4, L,1204.0,1860,Andhra Pradesh
Plot/Land,Ongole,18.0, L,1204.0,1494,Andhra Pradesh
Plot/Land,Visakhapatnam,55.0, L,1206.0,4560,Andhra Pradesh
Plot/Land,Visakhapatnam,44.0, L,1206.0,3646,Andhra Pradesh
Plot/Land,Vijayawada,16.29, L,1207.0,1350,Andhra Pradesh
Plot/Land,Guntur,93.55, L,1208.0,7739,Andhra Pradesh
Plot/Land,Visakhapatnam,17.6, L,1208.0,1456,Andhra Pradesh
Plot/Land,Tirupati,14.5, L,1208.0,1200,Andhra Pradesh
Plot/Land,Visakhapatnam,23.0, L,1210.0,1900,Andhra Pradesh
Plot/Land,Visakhapatnam,23.0, L,1211.0,1899,Andhra Pradesh
Plot/Land,Visakhapatnam,20.0, L,1212.0,1650,Andhra Pradesh
Plot/Land,Visakhapatnam,20.0, L,1214.0,1647,Andhra Pradesh
Plot/Land,Visakhapatnam,22.0, L,1215.0,1810,Andhra Pradesh
Plot/Land,Kakinada,16.0, L,1217.0,1314,Andhra Pradesh
Plot/Land,Visakhapatnam,22.0, L,1218.0,1806,Andhra Pradesh
Plot/Land,Visakhapatnam,55.0, L,1220.0,4506,Andhra Pradesh
Plot/Land,Visakhapatnam,22.0, L,1220.0,1803,Andhra Pradesh
Plot/Land,Visakhapatnam,22.0, L,1220.0,1802,Andhra Pradesh
Plot/Land,Vijayawada,20.09, L,1220.0,1647,Andhra Pradesh
Plot/Land,Visakhapatnam,55.0, L,1221.0,4502,Andhra Pradesh
Plot/Land,Visakhapatnam,55.0, L,1222.0,4500,Andhra Pradesh
