locality,builtup_area_sqft,total_price,price_currency,property_status,new/resale,price_negotiable,description,security_deposit,facing,furnished,property_age,lift(s),full_power_backup,24_x_7_security,children's_play_area,club_house,gymnasium,swimming_pool,sports_facility,jogging_track,landscaped_gardens,locality_score,project_score,builder_experience,hospital,multipurpose_room,rain_water_harvesting,vaastu_compliant,atm,car_parking,intercom,maintenance_staff,school,pincode,staff_quarter,golf_course,cafeteria,indoor_games
New chandigarh mohali,3600.0,28000000.0,INR,1.0,0,0,"This plot is available for sale and is located in the heart of New chandigarh mohali. It has an area of 3600 sqft and is priced at Rs. 2.80 cr . Its entry is northwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,4275.0,23499675.0,INR,1.0,0,0,"This plot is situated in New chandigarh mohali, Chandigarh. It is southeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,southeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 79,3600.0,41000000.0,INR,1.0,1,0,"This plot is situated in Sector 79, Chandigarh. It has an area of 3600 sqft. The property is available at a price of Rs. 4.10 cr . It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,northeast,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1701.0,3780000.0,INR,1.0,1,0,"A plot is available at a prime location in Yadagirigutta. It has an area of 1701 sqft. The property is available at a price of Rs. 37.80 lac . Its entry is north facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,north,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sunny Enclave,2160.0,7200000.0,INR,1.0,1,0,"A plot is available for sale in Sunny Enclave, Chandigarh. It has an area of 2160 sqft and is priced at Rs. 72.00 lac . Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,west,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1503.0,2310000.0,INR,1.0,1,0,"This plot is available for sale and is located in the heart of Yadagirigutta. It has an area of 1503 sqft. The property is available at a price of Rs. 23.10 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 79,1350.0,12500000.0,INR,1.0,0,0,"1350 Square feet Plot for sale in Sector 79, Mohali. This land has a dimension of 50.0 mt length 27.0 mt width. Price. The width of the facing road is 40.0 mt. The most popular landmarks near this plot are High School, Clinic - Dr. Ranjit Bajwa (Internal Medicine), and Sood Foods Private Limited",1,,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,2160.0,1704000.0,INR,1.0,0,0,"This plot is situated in Yadagirigutta. It has a salable area of 2160 sqft and is available at a price of Rs. 788 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1350.0,1285000.0,INR,1.0,1,0,"It has an area of 1350 sqft and is priced at Rs. 12.85 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1440.0,2399840.0,INR,1.0,1,0,"A plot is available for sale in Yadagirigutta, Chandigarh. It has an area of 1440 sqft and is priced at Rs. 24.00 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
