prop_id,property_type,city,address,resale,owntype,bhk,bathrooms,balcony_num,total_price,furnish,facing,property_age,floor_num,total_floor,prop_name,min_price,max_price,price_sqft,building_id,builtup_area_sqft,superbuiltup_sqft,brokerage,min_area_sqft,max_area_sqft,expiry_date,price,class_label,total_landmark_count,contact_company_name,flag_reason,dataset
F70601636,Apartment,Navi Mumbai,,Yes,Owner,2.0,,1,0.0,Unknown,North,5,1,11,Lk Vivanta,0.0,0.0,0,1083792.0,,,,47.937948,54.162449,2023-09-03,38.0,Dealer,8,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
A70601634,Apartment,Navi Mumbai,,Yes,Owner,1.0,,1,0.0,Unknown,North,5,1,11,Lk Vivanta,0.0,0.0,0,1083792.0,,,,34.745722,34.838625,2023-09-03,38.0,Dealer,8,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
I70688702,Apartment,Mumbai Andheri-Dahisar,,Yes,Owner,2.0,,1,0.0,Unknown,North,5,1,34,Omkar Signet,0.0,0.0,0,507073.0,,,,44.59344,46.730209,2023-09-07,38.0,Dealer,15,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
G70688700,Apartment,Mumbai Andheri-Dahisar,,Yes,Owner,1.0,,1,0.0,Unknown,North,5,1,34,Omkar Signet,0.0,0.0,0,507073.0,,,,30.936699,30.936699,2023-09-07,38.0,Dealer,15,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
Z70985388,Apartment,Navi Mumbai,,Yes,Owner,3.0,,1,0.0,Unknown,North,5,1,7,Shree Delta Elite,0.0,0.0,0,1090802.0,,,,74.694012,74.694012,2023-09-23,38.0,Dealer,49,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
L70985386,Apartment,Navi Mumbai,,Yes,Owner,2.0,,1,0.0,Unknown,North,5,1,7,Shree Delta Elite,0.0,0.0,0,1090802.0,,,,53.697934,53.697934,2023-09-23,38.0,Dealer,49,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
T70985384,Apartment,Navi Mumbai,,Yes,Owner,1.0,,1,0.0,Unknown,North,5,1,7,Shree Delta Elite,0.0,0.0,0,1090802.0,,,,36.417976,36.417976,2023-09-23,38.0,Dealer,49,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
S70692302,Apartment,Mumbai Beyond Thane,,Yes,Owner,2.0,,1,0.0,Unknown,North,5,1,12,Atlantic,0.0,0.0,0,1077148.0,,,,52.768904,52.768904,2023-09-07,38.0,Dealer,6,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
H70583650,Apartment,Central Mumbai Suburbs,,Yes,Owner,2.0,,1,0.0,Unknown,North,5,1,16,Swaranjali Rajshree Fifty Five East,0.0,0.0,0,1104162.0,,,,45.243761,53.326322,2023-09-02,38.0,Dealer,48,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
Y70583648,Apartment,Central Mumbai Suburbs,,Yes,Owner,1.0,,1,0.0,Unknown,North,5,1,16,Swaranjali Rajshree Fifty Five East,0.0,0.0,0,1104162.0,,,,33.816692,36.603782,2023-09-02,38.0,Dealer,48,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
